pref_name,umls_cui_linked,average_depth,trials_count,pubmed_count,search_frequency,select_frequency
"Adenosquamous cell lung cancer",C0038875,6.4286,66,NULL,1,9
"Diabetes insipidus",C0005603,4.7386,66,5712,3,8
"Acute liver failure",C0017400,6.8727,66,2547,1,NULL
Syphilis,C0008695,5.0545,66,18301,1,NULL
"Malignant neoplasm of thymus",C0003523,9.6659,67,6751,1,NULL
"Constipation functional",C0052667,11.25,67,NULL,1,NULL
"Rett syndrome",C0008294,4.9565,67,1476,7,NULL
"Pancreatic cyst",C0007797,5.1628,67,3821,12,2
"Mycobacterium avium-intracellulare infection",C0007250,6.1923,67,2400,1,NULL
"Von willebrand disease",C0009084,4.5,68,4259,2,NULL
"Dissecting aneurysm",C0004795,6.1154,68,10531,1,NULL
"Secondary progressive multiple sclerosis",C0116146,5.0714,68,NULL,6,4
"Skin ulcer",C0000205,4.8226,69,6100,2,NULL
"Urethral neoplasm",C0008975,6.1935,69,2139,4,NULL
"Carcinoma of spinal cord",C0003289,8.2374,69,9507,7,NULL
"Focal glomerulosclerosis",C0006190,8.2747,69,3574,2,NULL
"Adult acute promyelocytic leukemia with pml-rara",C0038933,11.7391,69,NULL,1,NULL
"Low grade glioma",C0196905,10,69,NULL,4,NULL
"Migraine with aura",C0012157,6.6714,69,894,7,1
"Behcet syndrome",C0004994,4.195,70,6204,4,NULL
"Cluster headache",C0005371,7.0506,70,1876,6,1
"Colorectal cancer, hereditary nonpolyposis, type 1",C0003489,5.5688,71,2601,1,1
"Endocrine exopthalmos",C0000325,4.7422,71,719,5,NULL
"Infectious arthritis",C0004893,4.8396,71,8368,2,NULL
"Rhabdoid tumor",C0017961,5,72,711,9,NULL
Osteomyelitis,C0007520,5.7297,72,16014,1,NULL
"Tension headache",C0008156,5.7917,73,1190,2,NULL
"Non-small cell lung cancer stage iii",C0038576,8.5893,73,NULL,6,8
"Primary brain tumor",C0115447,8.75,73,NULL,6,2
"Pelvic floor disorder",C0303197,2.9706,73,100,5,NULL
"Intrahepatic cholangiocarcinoma",C0000481,11.1245,73,NULL,135,NULL
"Becker muscular dystrophy",C0000405,8.2396,73,NULL,8,NULL
"Asperger syndrome",C0021074,5.1364,73,914,2,NULL
"Classical hodgkin's lymphoma",C0153957,10.8125,74,NULL,1,1
"Benign neoplasm of the lip",C0011606,9.1183,74,NULL,1,NULL
"Cancer of urinary tract",C0003522,7.4476,74,2784,4,NULL
"Raynaud disease",C0000229,5.68,74,5449,4,1
"Type c niemann-pick disease",C0018030,8.0417,74,148,12,1
Vulvodynia,C0054429,6.7805,75,46,1,NULL
"Hereditary hemorrhagic telangiectasia",C0008718,5.2754,75,2280,1,NULL
"Chronic constipation",C0052670,10.7179,75,NULL,2,NULL
"Atrioventricular block",C0004937,7.6947,75,763,3,NULL
"Asphyxia neonatorum",C0004913,4,75,6430,1,NULL
"Non-small cell carcinoma",C0141552,10.4286,75,NULL,2,NULL
"Fragile x syndrome",C0006096,4.9722,75,3373,33,NULL
Narcolepsy,C0007307,5.4068,76,2366,29,1
Tonsillitis,C0008794,6.9606,77,5986,1,NULL
"De toni-debre-fanconi syndrome",C0001947,7.5598,77,1252,11,NULL
"Tuberous sclerosis",C0008912,4.6599,77,4248,8,NULL
"Gene deletion abnormality",C0157522,6,78,NULL,1,NULL
"Paroxysmal nocturnal hemoglobinuria",C0007070,4.8936,78,NULL,7,1
"Physiological stress",C0074917,2.6875,78,41855,1,NULL
Chondrosarcoma,C0000076,7.5217,79,5123,1,NULL
Amenorrhea,C0004743,5.2414,79,8780,2,NULL
"Graf disease",C0006242,5.7305,79,12669,3,NULL
"Acute exacerbation of chronic obstructive airway disease",C0042941,8.6,79,NULL,2,4
"Epidermolysis bullosa",C0005863,4.7642,79,2147,15,1
"Congenital arteriovenous malformation",C0004886,5.1042,80,6132,11,2
"Severe combined immunodeficiency",C0009232,4.1429,80,2874,7,NULL
Pterygium,C0008173,3.5789,80,1654,1,NULL
"Cannabis dependence",C0002247,5.25,80,NULL,1,NULL
"Stage iii breast cancer ajcc v6",C0038561,4.72,80,NULL,5,NULL
"Spina bifida",C0009208,5.6607,80,4733,3,NULL
"Acute megakaryocytic leukemia",C0006883,8.7985,81,800,1,NULL
"Synovial sarcoma",C0008691,6.9583,81,2286,3,NULL
"Cocaine abuse",C0005374,5,81,NULL,3,NULL
"Carcinomatosis of peritoneal cavity",C0047941,11.0414,81,NULL,5,NULL
"Sarcoma of ovary",C0039466,10.8381,81,NULL,2,NULL
"Cartilage disease",C0005191,3.5294,82,3428,1,NULL
"Alpha 1-antitrypsin deficiency",C0018410,4.9174,82,2588,19,1
"Adult oligodendroglioma",C0038827,9.8696,83,NULL,7,NULL
"Pseudomonas infection",C0008139,3.8889,83,14373,1,NULL
"Recurrent chronic lymphoid leukemia",C0123669,8.8469,84,NULL,1,NULL
"Progressive supranuclear palsy",C0008670,6.1989,84,1533,10,NULL
"Hidradenitis suppurativa",C0017450,6.8192,84,471,3,1
"Primary sclerosing cholangitis",C0096231,8.931,84,NULL,4,1
"Lichen planus",C0006925,6.4118,84,4300,5,2
"Chlamydia infection",C0005286,4.5089,85,11452,2,NULL
"Female genital disease",C0006154,5.5,85,16026,5,NULL
"Condylomata acuminata",C0005421,7.6573,85,4013,3,NULL
"Head and neck carcinoma",C0333942,7,85,NULL,1,NULL
"Adenomatous polyposis coli",C0008031,7.2206,85,4177,8,NULL
"Post-concussion syndrome",C0088620,5.6813,85,327,3,NULL
Hidradenitis,C0009240,5.6,86,187,4,NULL
"Shy-drager syndrome",C0008473,5.5843,86,505,2,NULL
"Adult brain stem glioma",C0038775,10.963,86,NULL,1,1
"Hereditary angioedema",C0006389,4.8333,86,154,9,1
"Ebola hemorrhagic fever",C0039704,4.7966,87,1255,6,NULL
"Pelvic inflammatory disease",C0024403,6.2397,87,4454,1,NULL
Dermatomyositis,C0005594,5.4522,87,5662,1,NULL
Vaginitis,C0009012,7.9747,87,3073,2,NULL
"Lewy body disease",C0116280,6.5646,88,1496,9,5
Endocarditis,C0005823,7.0377,88,6662,1,NULL
"Localized scleroderma",C0008403,5.8125,88,3446,2,NULL
"Adenoid cystic carcinoma of oropharynx",C0002183,12.2495,89,2174,2,NULL
Pheochromocytoma,C0007943,6.4483,89,12952,3,NULL
"Headache disorder",C0051401,5.2,89,1121,1,2
"Fanconi anemia",C0005986,6.08,89,2213,6,NULL
"Diabetic peripheral neuropathy",C0114088,8,89,NULL,1,NULL
"Cervical carcinoma stage ivb",C0161289,12.4375,89,NULL,4,3
"Heroin dependence",C0006422,4.0323,90,7036,4,1
"Myasthenia gravis",C0007248,4.7429,90,11685,18,7
"Stage iia breast carcinoma",C0155632,10,90,NULL,2,1
"Malignant epithelial neoplasm of small intestine",C0001035,11.3317,90,NULL,3,1
"Tic disorder",C0000814,3.9,90,1093,1,NULL
Hyperopia,C0006521,4.7556,91,2184,2,NULL
Liposarcoma,C0006951,5.622,91,3105,6,NULL
Hyperbilirubinemia,C0006497,3.7308,91,3761,1,NULL
"Prader-willi syndrome",C0008062,4.472,91,1912,5,NULL
"Bronchiolitis obliterans",C0005099,8,91,1716,1,NULL
"Granulomatosis with polyangiitis",C0312982,7.55,91,5155,1,2
"Plantar fasciitis",C0009595,5.5584,92,284,1,NULL
Mumps,C0007231,8.2976,92,3756,2,1
"Social anxiety",C0064358,4.3636,92,NULL,2,2
"Mitochondrial disease",C0115893,3.1875,93,1893,8,3
"Malignant neoplasm of stomach stage iii",C0038567,5.7333,93,NULL,3,NULL
"Stage iib breast carcinoma",C0155653,10,93,NULL,3,1
"Short bowel syndrome",C0008467,7.1574,93,1917,4,NULL
"Retinal defect",C0001955,7.9915,94,3146,6,NULL
"Congenital acetabular dysplasia",C0001364,7.3575,94,6326,1,NULL
"Small cell lung cancer limited stage",C0038679,8.2097,94,NULL,2,1
"Gastric ulcer",C0002071,6.3295,95,23427,1,NULL
"Testis cancer recurrent",C0038751,6.45,96,NULL,1,1
"Hairy cell leukemia",C0006877,7.7419,96,3631,2,NULL
Exanthema,C0000761,4.7586,97,4036,5,NULL
Rickets,C0008317,5.2525,97,5210,1,NULL
"Multiple system atrophy",C0051259,4.425,97,1140,18,NULL
"Acute promyelocytic leukemia",C0006898,9.4322,97,5163,1,NULL
"Acute chest syndrome",C0114355,4.9744,98,36,1,1
"Classical phenylketonuria",C0000154,4.8868,98,5779,12,1
"Meningococcal cerebrospinal fever",C0001373,7.0163,98,4086,1,NULL
"Pancreatic carcinoma non-resectable",C0123643,9.5,99,NULL,1,2
"Stage ii prostate carcinoma",C0038745,6.25,100,NULL,6,NULL
Viremia,C0009057,4.283,100,5655,7,NULL
"Perinatal asphyxia",C0091403,4.2174,100,NULL,1,NULL
"Chronic kidney disease stage 5",C0203542,9.129,100,NULL,1,NULL
"Osteosarcoma recurrent",C0038713,5.2581,100,NULL,1,1
"Recurrent childhood medulloblastoma",C0041700,11.3526,100,NULL,1,2
"Pulmonary edema",C0001156,4.7975,100,14213,3,NULL
"Chronic insomnia",C0115628,6.3333,101,NULL,1,NULL
"Hypoxic-ischemic encephalopathy",C0116262,5.9231,101,NULL,1,NULL
Pancytopenia,C0007803,4.5455,101,2538,24,NULL
"Paraganglioma and gastric stromal sarcoma",C0182085,7.8163,102,NULL,1,1
Paraplegia,C0007837,5,102,10604,6,NULL
"Small for gestational age infant",C0006642,5.3793,102,4134,1,NULL
"Metastasis from malignant tumor of prostate",C0145170,7,103,NULL,2,NULL
"Adrenal gland hypofunction",C0004670,4.5957,103,5211,2,NULL
"Multi-infarct dementia",C0000342,7.0685,103,4151,1,2
"Chronic progressive multiple sclerosis",C0051341,5.766,104,934,1,1
"Malignant epithelial neoplasm of ureter",C0002566,9.7814,104,3595,1,NULL
"Effect of chemotherapy",C0141026,3,105,NULL,2,NULL
"Iga glomerulonephritis",C0006186,10.2071,105,4030,11,3
"Allergy to peanut",C0091398,6.6842,105,412,1,1
"Breast disease",C0005089,3.6429,105,9992,11,12
"Patellofemoral pain syndrome",C0133727,3.5833,105,246,1,NULL
"Stage ii rectal cancer",C0038587,9.2727,105,NULL,3,1
"Pervasive development disorder",C0087762,4.4,105,NULL,1,2
"Carcinoma of unknown primary",C0004077,5.8636,106,2224,9,NULL
"Biliary cirrhosis",C0006958,6.8557,106,6313,1,NULL
"Autonomic nervous system disorder",C0139071,2.9762,106,7330,1,NULL
Myositis,C0007288,4.8901,107,6147,3,NULL
"Primary biliary cirrhosis",C0005294,8.3026,107,NULL,2,1
"Geographic atrophy",C0162660,5.3077,108,105,7,NULL
Hemorrhoid,C0006364,7.1408,108,4111,5,NULL
"Malignant neoplasm of tongue",C0003587,10.1581,108,7251,4,NULL
"Transformed migraine",C0194471,8.3947,108,NULL,6,NULL
"Gaucher disease",C0006146,6.4566,108,3423,11,NULL
"Alcoholic fatty liver",C0005999,6.2913,108,921,1,NULL
Glomerulonephritis,C0006185,7.5,108,22851,7,3
"Acute monocytic leukemia",C0006884,7.6866,108,2393,1,1
Bursitis,C0000519,4.7667,108,2388,2,NULL
Leiomyosarcoma,C0006850,6.0471,109,6871,16,2
"Premature rupture fetal membrane",C0006022,5.4194,109,3530,2,NULL
"Testicular dysgenesis",C0000712,6.7822,110,6186,4,NULL
"Stage i grade iii follicular lymphoma",C0039140,12.8103,110,NULL,1,1
"Chronic graft-versus-host disease",C0132179,4.5,110,NULL,6,7
Wart,C0319644,4.0145,111,3694,1,NULL
"Stage iva cervical carcinoma",C0038618,12.4375,111,NULL,1,1
"Inappropriate adh syndrome",C0006630,4.988,112,1941,1,NULL
Algoneurodystrophy,C0000144,5.358,112,3158,1,NULL
Fasciitis,C0005991,4.86,112,1997,1,NULL
"Attention deficit disorder",C0008933,3.875,112,NULL,3,2
"Stage iii renal cell cancer",C0038644,5.2,113,NULL,2,NULL
Hunger,C0006480,4,113,3778,1,1
Rabies,C0008223,4.3387,114,7728,8,NULL
"Bone necrosis",C0007521,4.4935,114,4287,1,1
"Intervertebral disk displacement",C0006694,4.2564,115,14098,3,NULL
"Metastatic squamous cell carcinoma",C0041267,7.3462,115,NULL,1,NULL
"Allergic asthma",C0013014,6.4,115,NULL,1,2
"Nephrotic syndrome",C0007369,6.2973,115,12849,6,NULL
Encephalopathy,C0009318,4.0294,115,NULL,3,NULL
"Autosomal dominant polycystic kidney",C0009291,5.8689,115,1900,2,1
"Squamous cell neoplasm",C0017942,5,115,830,1,NULL
"Chronic fatigue syndrome",C0005998,3.61,116,3584,444,34
"Copd exacerbation",C0114008,NULL,116,NULL,8,2
"Multiple organ failure",C0007227,4.2581,117,6790,3,NULL
Angioedema,C0004806,4.2344,117,3720,21,NULL
"Malignant neoplasm of pituitary gland",C0003606,11.657,117,20290,5,NULL
"Diastolic heart failure",C0138283,7.1429,117,148,3,2
"T-cell large granular lymphocyte leukemia",C0194064,11.13,118,NULL,1,NULL
Prehypertension,C0172406,3.96,119,122,1,NULL
Icterus,C0006736,3.9753,119,12234,1,NULL
"Stage iv adult soft tissue sarcoma",C0038640,6.5,120,NULL,1,NULL
"Adenoid cystic carcinoma of salivary gland",C0003287,9.526,121,6262,4,2
"Nasal polyp",C0007312,5.5986,121,4035,1,NULL
"Immunoblastic large-cell lymphoma",C0009182,7.2414,123,242,3,NULL
"Bladder cancer recurrent",C0038739,6.1316,123,NULL,1,1
"Adult liver carcinoma",C0017984,9.2222,124,NULL,1,1
"Stage iv bladder cancer ajcc v6",C0038740,4.8125,124,NULL,1,NULL
"Congenital cystic kidney disease",C0001046,6.9027,124,4922,7,1
"Bipolar i disorder",C0122474,4.1818,124,NULL,3,NULL
"Spinal muscular atrophy",C0007239,4.7451,125,2118,33,12
"Adrenal gland hyperfunction",C0001952,4.5642,126,12249,8,2
Vitiligo,C0009073,5.7581,126,3141,6,NULL
"T-cell leukemia",C0006900,5.2326,127,2234,1,NULL
"Adult acute lymphocytic leukemia",C0115864,9.6316,127,NULL,1,1
Meningioma,C0000142,5.2083,128,14124,11,NULL
"Lipid metabolism disorder",C0011829,3.2128,128,243,1,NULL
"Acute gvh disease",C0125277,4.5,129,NULL,27,1
"Ductal carcinoma",C0139661,5.7586,131,730,1,NULL
Mucopolysaccharidoses,C0007215,4.9429,131,1769,31,NULL
"Serous cystadenocarcinoma",C0017928,8.5,133,1628,1,NULL
"Adult t-cell lymphoma/leukemia",C0006901,8.6375,136,3152,20,5
"Eosinophilic esophagitis",C0043761,6,137,224,1,NULL
Telangiectasis,C0008719,5.5862,137,3062,3,NULL
"Ventricular fibrillation",C0009038,7.2157,137,13431,2,NULL
"Cervix carcinoma recurrent",C0038610,7.2444,137,NULL,1,1
"Acute heart failure",C0027332,8.1667,137,NULL,1,19
"Pancreatic carcinoma stage ii",C0139158,4.1818,138,NULL,3,1
"Non-small cell lung cancer stage ii",C0038575,8.5893,139,NULL,6,7
"Drug dependence",C0158747,4.3043,139,NULL,3,NULL
"Lupus nephritis",C0006995,8.134,140,3544,1,2
"Esophageal neoplasm metastatic",C0038595,5.7333,140,NULL,7,NULL
"Pick disease of the brain",C0020949,7.7091,140,399,2,NULL
Hemangioma,C0006311,5.1905,142,16904,5,NULL
"Cerebellar ataxia",C0005220,5.4079,142,3277,1,NULL
"Uveal melanoma",C0003369,4.2683,142,2668,7,NULL
Hyperphosphatemia,C0009375,4.3,142,233,1,NULL
"Non-small cell lung cancer stage i",C0038574,8.5893,142,NULL,4,NULL
"Hepatic encephalopathy",C0006369,5.7222,143,8149,1,NULL
"Sezary syndrome",C0008456,10.4414,143,1251,1,1
"Carcinoma of endocrine gland",C0001308,5.0844,144,2277,6,NULL
"Extranodal nk-t-cell lymphoma",C0194070,6.3571,144,204,1,1
Peritonitis,C0007927,4.6707,145,20044,1,NULL
"Influenza in bird",C0006084,4.459,147,2896,1,NULL
"Essential tremor",C0032271,4.3226,147,824,8,NULL
"Atrial flutter",C0004936,6.3016,148,4494,1,NULL
"Malignant neoplasm of parietal pleura",C0000579,9.7757,148,NULL,1,NULL
"Myxoid cyst",C0139722,4.1091,149,431,1,NULL
Vaccinia,C0009004,7.8409,149,2295,1,NULL
Thrombocytosis,C0117182,4.3276,149,2437,2,NULL
Measles,C0007092,4.6667,149,10691,1,NULL
"Bacterial vaginosis",C0009243,9.2907,149,1829,1,NULL
"Primary amyloidosis",C0030366,5.4211,149,NULL,4,NULL
"Chronic lymphocytic leukaemia stage 2",C0123670,7.0256,150,NULL,1,NULL
"Fabry disease",C0001909,7.0762,150,2052,212,NULL
"Stage iii cutaneous melanoma ajcc v6",C0038784,8.25,150,NULL,3,3
"Postherpetic neuralgia",C0008041,5.4545,150,321,1,NULL
Hematoma,C0006323,4.2286,151,17519,22,NULL
"Stage 0 breast carcinoma",C0011725,6.1753,151,33,7,NULL
Spondylolisthesis,C0008577,5.9808,152,3146,1,NULL
"Anaplastic astrocytoma",C0041539,8.1296,152,NULL,29,1
"Hypertrophic cardiomyopathy",C0005175,8.2825,153,9790,8,NULL
"Sensorineural hearing loss",C0006286,5.4176,154,10693,2,NULL
Lipodystrophy,C0006940,4.7838,155,2598,2,NULL
Leishmaniasis,C0006851,4.1067,155,5401,1,NULL
Hypothyroidism,C0006596,4.2031,156,21899,6,2
Heartburn,C0000163,5.1081,156,1356,3,NULL
Rosacea,C0008331,3.8333,157,1687,6,NULL
"Adult t-cell lymphoma/leukaemia stage iv",C0039427,11.186,157,NULL,1,1
"Complication of diabetes mellitus",C0044610,3.1212,158,29564,2,3
"No salivation",C0001363,6.9674,158,3149,1,NULL
"Neurofibromatosis 1",C0007386,7.15,159,7220,8,2
Presbyopia,C0008089,4.125,159,970,5,NULL
"Metastasis to digestive organ",C0003520,10.2327,161,NULL,38,NULL
"Borderline personality disorder",C0005069,4.0909,162,3957,1,NULL
"Advanced breast cancer",C0313076,NULL,162,NULL,1,NULL
"Adult acute monoblastic leukemia",C0038935,12.413,162,NULL,1,NULL
"Corneal disease",C0005463,4.5106,163,8692,1,NULL
"Retinitis pigmentosa",C0008286,6.3913,163,5274,6,NULL
"Collagen disease",C0005392,3.7381,163,5873,10,NULL
"Interstitial cystitis",C0039680,7.0351,163,1157,2,NULL
Neurofibromatoses,C0017429,5.1361,164,1585,2,NULL
Aspergillosis,C0000724,3.8333,164,9590,1,NULL
"Malignant pleural mesothelioma",C0117037,8.8897,165,NULL,3,4
Nephritis,C0007357,6.2564,165,7194,1,NULL
"Adult acute myeloid leukemia with maturation",C0038932,11.2258,166,NULL,1,3
Acromegaly,C0004612,5.2286,166,6730,27,NULL
Urticaria,C0000035,4.1944,166,8575,3,1
Abfraction,C0147947,9.6,166,NULL,1,1
"Bronchial neoplasm",C0004042,5.9091,168,19110,81,85
Vasculitis,C0009025,4.3158,169,9600,8,1
"Gilles de la tourette syndrome",C0008812,4.8852,169,3023,5,NULL
"Lymphangitis carcinomatosa",C0003298,11.2612,170,NULL,13,1
"Dilated cardiomyopathy",C0005174,8.5972,171,10800,4,NULL
"Bile duct carcinoma",C0003855,4.8947,172,8692,74,NULL
"Chronic sinusitis",C0009505,6.5854,172,NULL,1,NULL
"Acute myelomonocytic leukemia",C0006891,8.7769,173,1227,2,4
Polyneuropathy,C0010354,4.8,174,3616,5,1
Cholelithiasis,C0005297,4.8364,174,23613,1,NULL
Coinfection,C0036304,2.7143,174,1527,1,NULL
"Childhood acute myeloid leukemia",C0017982,9.1071,176,NULL,2,NULL
"Primitive neuroectodermal tumor",C0017903,6.7303,177,1138,1,NULL
"Benign prostatic hypertrophy",C0004999,2.75,179,NULL,2,NULL
"Small cell lung cancer recurrent",C0038681,8.5658,179,NULL,2,NULL
Gastritis,C0006136,5.8916,179,15166,1,NULL
"Malignant neoplasm of retina",C0003547,9.9478,180,5980,6,NULL
"Restless leg syndrome",C0008269,4.404,180,1790,1,NULL
"Beta thalassemia",C0005005,6.0103,182,5435,4,2
"Panic disorder",C0007805,3.7813,182,4874,2,NULL
"Malignant neoplasm of cerebellopontine angle",C0000120,10.0298,183,4724,10,5
"Discoid lupus erythematosus",C0006992,5.4583,183,2500,3,NULL
"Celiac disease",C0005205,5.4526,183,14069,20,3
"Anal carcinoma",C0001169,9.5373,186,3893,4,1
"Childhood acute lymphoblastic leukemia",C0006880,8.8824,186,NULL,8,1
"Huntington disease",C0006481,5.1282,187,7767,60,6
Amnesia,C0000704,4.4561,187,5506,1,NULL
Dizziness,C0000178,4.3944,187,9911,6,NULL
"Nerve root disorder",C0001333,4.82,188,2803,1,NULL
Cystitis,C0005519,6.1869,188,5976,2,NULL
"Sicca syndrome",C0000678,5.6209,189,8945,19,1
Rhabdomyosarcoma,C0008300,6.3636,190,7398,10,NULL
"Infectious mononucleosis",C0000029,4.304,190,6615,1,NULL
Gastroparesis,C0010351,6.5581,191,849,4,NULL
"Malignant neoplasm of stomach stage iv",C0038568,5.04,192,NULL,14,2
Varicosity,C0009018,4.791,192,11254,3,NULL
Arthralgia,C0004889,4.5313,193,3227,1,NULL
Myalgia,C0018611,4.4679,194,338,4,NULL
"Lupus erythematosus",C0055329,4.4,194,NULL,2,1
"Premature obstetric labor",C0006801,4.4412,195,11065,2,NULL
"Stage ia breast cancer ajcc v7",C0213965,10,196,NULL,1,NULL
"Small cell carcinoma",C0025799,7.6441,197,15507,2,NULL
"Staphylococcal infection",C0008590,4.0476,197,39758,1,NULL
"Critical limb ischemia",C0138812,NULL,198,NULL,13,NULL
Ileus,C0001840,5.3704,198,25215,2,NULL
Cholestasis,C0005300,6.7079,200,14998,1,NULL
Bradycardia,C0067527,4.5692,200,8412,4,NULL
"Follicular lymphoma, large-cell",C0009181,11.4545,201,NULL,1,NULL
Sarcoidosis,C0008353,3.9048,202,17871,73,1
"Bcr-abl negative leukemia, myeloid, chronic, atypical",C0148882,8.8727,202,295,1,NULL
"Neuroendocrine carcinoma",C0017923,6,202,1577,20,NULL
"Sexual dysfunction",C0088992,3.9677,202,NULL,1,2
Ataxia,C0004926,4.7077,203,5726,29,NULL
Aphasia,C0004859,5.7656,203,7728,1,NULL
Sciatica,C0008397,6.3065,204,4154,1,NULL
Encephalitis,C0001556,5.1538,204,14316,4,NULL
"Partial epilepsy",C0005869,6.6552,206,6603,4,NULL
"Thrombocytopenic purpura",C0125587,4.6542,206,6004,1,NULL
"Unclassifiable myelodysplastic/myeloproliferative neoplasm",C0153115,8.4583,210,NULL,1,NULL
Gout,C0006226,4.3644,210,8168,7,1
Acne,C0113552,3.9487,211,NULL,1,NULL
"Ewings sarcoma",C0089096,6.0588,212,4901,11,1
"Pituitary dwarfism",C0005703,6.1058,215,1889,4,NULL
"Stage i prostate carcinoma",C0038744,6.25,216,NULL,3,NULL
"Childbirth and the puerperium complication of pregnancy",C0000753,3.1563,219,65746,1,NULL
"Gallbladder carcinoma",C0000305,9.9904,219,6194,131,NULL
"Neurodegenerative disorder",C0087789,3.0714,219,7219,1,NULL
Bulimia,C0005108,5.5556,221,4426,3,1
"Postpartum depression",C0018104,4.3611,221,2338,6,NULL
"Movement disorder",C0007206,3.8718,221,11982,2,NULL
"Mycosis fungoides",C0000171,9.7651,223,4110,6,1
"Disorder of skeletal muscle",C0002314,3.5278,223,20150,4,NULL
Stomatitis,C0008609,6.4353,223,4932,2,NULL
"Colonic polyp",C0005398,8.9596,226,4811,1,NULL
"Myelodysplastic-myeloproliferative disease",C0150234,6.2895,226,24,2,NULL
"Alopecia areata",C0004721,5.8438,227,2135,7,2
"Pituitary disease",C0007970,4.52,228,6269,4,NULL
"Carpal tunnel syndrome",C0005188,8.6741,228,5989,1,NULL
"Hot flush",C0110328,5.6538,228,1519,1,NULL
"Opioid use",C0023243,NULL,228,NULL,3,NULL
"Spontaneous abortion",C0004563,3.5882,228,15569,1,NULL
"Adult anaplastic astrocytoma",C0039445,10.6977,229,NULL,5,1
"Gingival disease",C0006166,6.9375,230,3960,3,NULL
"Sleep disturbance",C0008521,2.9474,231,NULL,1,NULL
Bronchitis,C0005101,5.2182,231,19242,12,NULL
"Hemophilia b",C0005325,4.7064,232,3068,5,NULL
"Treatment-resistant depressive disorder",C0199068,4.4167,234,175,8,1
"Leg ulcer",C0006845,4.7619,234,6785,1,NULL
"Social phobia",C0007951,4.4667,235,223,1,NULL
Gliosarcoma,C0017948,7.7093,235,467,5,NULL
"Essential thrombocythemia",C0008751,5.6075,237,1900,5,NULL
Candidiasis,C0005135,3.6429,238,16591,3,NULL
Pruritus,C0008125,4.3218,239,7477,2,NULL
"Angina decubitus",C0002139,7.8971,239,7450,1,6
"Germ cell tumor",C0001688,5.2449,239,2599,3,NULL
"Refractory anemia",C0000885,7.2976,239,822,1,NULL
"Pancreatic carcinoma stage iii",C0139159,4.1818,241,NULL,4,1
"Bipolar depression",C0005017,5.8,242,NULL,8,NULL
"Exudative macular degeneration",C0202643,5.3077,242,364,5,NULL
"Barrett esophagus",C0004979,5.5205,243,4672,1,NULL
"Duodenal cancer",C0003290,11.7578,244,18745,15,1
"Postmenopausal osteoporosis",C0007525,5.8312,245,8723,2,NULL
"Urothelial carcinoma",C0201118,7.4286,245,NULL,1,2
"Respiration disorder",C0008259,3.093,245,7018,2,NULL
"Paroxysmal atrial fibrillation",C0020572,9.9048,247,NULL,1,1
"Weight loss adverse event",C0293090,7,249,NULL,1,NULL
"Small cell lung cancer extensive stage",C0038680,8.2097,249,NULL,7,NULL
"Chronic erythremia",C0000934,6.2109,249,4933,11,NULL
Dystonia,C0001682,4.7333,250,5451,5,NULL
"Female infertility",C0006649,5.2692,250,20764,1,NULL
"Lymphoproliferative disorder",C0007025,4.5,254,5878,2,NULL
"Noninfiltrating intraductal carcinoma",C0005162,9.3623,256,6518,1,NULL
"Uterine fibroid",C0008991,9.9914,257,NULL,20,NULL
"Ovarian cancer stage iii",C0038652,6.0877,258,NULL,4,NULL
"Stage iii prostate cancer ajcc v7",C0299578,10.8,260,NULL,1,NULL
"Duchenne muscular dystrophy",C0005696,6.4179,260,2217,191,4
"Spinal cord disease",C0008561,4.2364,261,9641,1,NULL
"Transient cerebral ischemia",C0000972,5.8283,263,15684,2,NULL
"Nonalcoholic steatohepatitis",C0303486,7.619,265,NULL,10,3
"Immune thrombocytopenic purpura",C0052022,5.1528,266,3722,15,6
Alopecia,C0004720,4.4306,268,7582,18,4
Lymphedema,C0007011,3.6825,268,5983,2,NULL
"Drug abuse",C0005685,3.7368,269,NULL,1,1
"Brain ischemia",C0005234,5.2432,269,29307,2,NULL
"Cancer of digestive system",C0003650,7.6184,270,NULL,27,NULL
Uveitis,C0008999,5.5789,270,8485,2,NULL
Dyspepsia,C0005720,4.0857,271,6618,1,NULL
"Stage iii prostate carcinoma",C0038746,6.25,271,NULL,1,NULL
Esophagitis,C0005918,5.5833,271,4485,10,NULL
"Congenital postural scoliosis",C0002388,5.7264,272,11806,7,NULL
"Cutaneous lymphoma, t-cell",C0009189,10.2974,272,1995,8,1
"Cancer pain",C0109955,4.75,272,249,16,1
"Chronic lymphocytic leukaemia stage 4",C0123671,7.0256,274,NULL,3,NULL
"Aplastic anemia",C0004769,4.3438,276,11592,10,1
"Peripheral t-cell lymphoma",C0009190,8.5403,277,754,89,10
"Stage iv pancreatic cancer",C0139162,4.1818,279,NULL,30,4
Amyloidosis,C0004756,3.6842,284,15701,26,5
"Alcohol abuse",C0009393,4.9545,284,NULL,3,NULL
"Chronic myeloproliferative disorder",C0148888,7.7188,284,NULL,1,NULL
"Eating disorder",C0005735,3.5,286,NULL,1,1
"Mental deterioration",C0020305,3.8,286,NULL,2,NULL
"Stage iv renal cell cancer",C0129757,5.2,286,NULL,4,NULL
"Kidney calculus",C0001577,5.4737,292,14749,2,NULL
"Interstitial lung disease",C0017802,4.6182,294,4773,2,NULL
Incontinence,C0006633,3.8889,296,NULL,1,NULL
